date,total_infected,recovered,deaths
2020-02-29 21:00:00,1,0,0 
2020-03-03 21:00:00,2,0,0
2020-03-04 21:00:00,6,0,0
2020-03-05 21:00:00,13,0,0
2020-03-06 21:00:00,18,0,0
2020-03-07 21:00:00,19,0,0
2020-03-08 21:00:00,21,0,0
2020-03-09 21:00:00,24,0,0
2020-03-10 21:00:00,34,0,0
2020-03-11 21:00:00,43,0,1
2020-03-12 21:00:00,70,0,1
2020-03-13 21:00:00,90,0,1
2020-03-14 21:00:00,129,0,2
2020-03-15 21:00:00,169,0,2
2020-03-16 21:00:00,223,0,2
2020-03-17 21:00:00,292,0,2
2020-03-18 21:00:00,366,0,2
2020-03-19 21:00:00,557,0,3
2020-03-20 21:00:00,683,0,3
2020-03-21 21:00:00,785,0,3
2020-03-22 21:00:00,906,0,4
2020-03-23 21:00:00,1125,0,6
2020-03-24 21:00:00,1329,0,7
2020-03-25 21:00:00,1564,0,9
2020-03-26 21:00:00,1819,0,19


